Actual,RNN_Predicted,LSTM_Predicted,ARIMA_Predicted,HW_Predicted
322.690002,326.75696,312.96988,332.0461767611191,336.50160507199683
323.850006,315.37808,314.5831,331.4405939612809,336.6607939831075
320.230011,323.47003,316.69485,331.72428072940835,336.8199828942182
313.579987,324.67752,318.23978,332.5993472390845,336.97917180532886
303.200012,326.4588,318.35587,333.1976071901983,337.1383607164395
297.429993,314.15515,316.17493,332.94155083855486,337.29754962755015
308.73999,319.68408,312.47202,332.10127129144206,337.45673853866083
306.649994,301.02365,310.5699,331.5108266548824,337.6159274497715
297.179993,308.12445,308.75516,331.74073265992274,337.7751163608822
290.170013,298.10547,305.72076,332.54722478344416,337.93430527199286
298.140015,300.18436,301.69452,333.1294086682458,338.09349418310353
300.839996,303.54507,299.35538,332.9242314814853,338.2526830942142
349.540009,309.19897,298.20236,332.1505398766284,338.4118720053249
348.170013,320.3716,306.45773,331.5770176552941,338.57106091643556
341.98999,338.6856,316.0657,331.75883068018624,338.73024982754623
379.570007,344.13504,324.78436,332.5006952631221,338.8894387386569
370.339996,353.20087,339.32324,333.0651970301506,339.0486276497676
352.450012,363.58505,351.41583,332.9054387333631,339.20781656087826
355.48999,372.37204,358.25095,332.194441782127,339.36700547198893
356.410004,354.1457,362.85648,331.6392794482762,339.5261943830996
347.640015,365.93622,365.27243,331.7782388556128,339.6853832942102
338.690002,354.99118,364.2744,332.45931283224314,339.8445722053209
335.450012,333.8162,360.19922,333.00485435006965,340.0037611164316
305.5,334.65033,354.60324,332.8854899840443,340.16295002754225
308.440002,327.10312,343.37622,332.2334096168319,340.3221389386529
321.899994,302.00836,332.59393,331.6977348275488,340.4813278497636
321.640015,327.7446,325.22482,331.7986575904506,340.6405167608743
320.100006,316.25092,319.7643,332.42265792682525,340.79970567198495
322.820007,323.11392,315.9634,332.94825350723494,340.9588945830956
319.269989,328.95792,314.2873,332.8646677636713,341.1180834942063
311.859985,328.53036,313.36343,332.26785010038384,341.277272405317
305.01001,315.97305,312.03452,331.7525147302111,341.43646131642765
303.149994,318.89874,309.95306,331.8198207134894,341.59565022753833
301.660004,305.39786,307.7896,332.3903364634176,341.754839138649
288.950012,295.96884,305.66357,332.89526023004635,341.9140280497597
280.73999,295.72836,301.6494,332.8432225697087,342.07321696087035
280.950012,286.26022,296.35657,332.2981448949056,342.232405871981
263.23999,275.90143,291.3979,331.80375630823016,342.39159478309165
285.5,284.93793,284.01636,331.8414927369746,342.5507836942023
279.440002,268.3091,281.0719,332.36197898047516,342.709972605313
290.540009,286.70593,278.53204,332.8457349137617,342.8691615164237
289.459991,292.28665,279.03735,332.8213755234387,343.02835042753435
295.200012,286.4464,280.4652,332.3246514872282,343.187539338645
294.839996,310.35562,283.51538,331.851601216954,343.3467282497557
284.959991,310.83624,286.836,331.8634662832937,343.5059171608664
299.019989,291.98538,288.31076,332.33723973563275,343.66510607197705
298.329987,303.0894,291.67233,332.7995342302575,343.8242949830877
299.100006,300.42017,294.683,332.7993208615431,343.9834838941984
299.679993,294.25272,297.3978,332.3477041091971,344.1426728053091
300.98999,307.15964,299.67087,331.8961941027417,344.30186171641975
309.579987,306.1152,301.59955,331.8855596736415,344.4610506275304
307.519989,295.36606,304.52087,332.3157957705674,344.62023953864104
264.769989,311.11414,306.7468,332.7565125472064,344.7794284497517
310.700012,288.42123,300.8724,332.77722826870666,344.9386173608624
301.019989,307.0606,301.7595,332.3676146850562,345.09780627197307
294.799988,289.93033,301.48862,331.9376812729111,345.25699518308375
281.829987,330.0363,300.3338,331.90761467260364,345.4161840941944
261.950012,268.57605,296.85956,332.29734595379233,345.5753730053051
250.559998,304.8053,289.69647,332.7165231729379,345.73456191641577
262.799988,272.60385,280.336,332.75524505741316,345.89375082752645
256.880005,256.36023,273.4107,332.38467379620204,346.0529397386371
252.229996,272.7412,266.7911,331.9762095322674,346.2121286497478
258.779999,255.22676,260.74646,331.9294943823979,346.3713175608585
259.589996,254.65106,257.17294,332.28161001048636,346.53050647196915
276.589996,262.59775,255.25151,332.67941944219814,346.6896953830798
271.779999,262.28662,257.55893,332.73349820126396,346.8488842941905
263.910004,269.25015,260.35934,332.39915165477896,347.0080732053011
260.0,286.54642,262.27045,332.0119251715016,347.1672621164118
260.950012,254.72638,263.3106,331.95108128038686,347.32645102752247
294.140015,269.79538,264.11356,332.2683275473336,347.48563993863314
288.5,269.97614,270.40955,332.6450556570239,347.6448288497438
314.859985,278.67218,276.20685,332.71209622824995,347.8040177608545
330.899994,286.58414,286.29883,332.411299078669,347.96320667196517
334.850006,317.9298,299.01297,332.0449730937313,348.12239558307584
329.899994,322.82373,311.70688,331.972275393402,348.2815844941865
337.320007,330.43384,321.9091,332.257257079319,348.4407734052972
344.279999,343.71933,331.12595,332.6132878959841,348.59996231640787
346.410004,346.39447,339.3239,332.6911309804525,348.75915122751854
341.399994,348.82773,345.79437,332.421348461412,348.9183401386292
341.059998,365.6419,349.3383,332.07549606639475,349.0775290497399
348.160004,344.59787,350.891,331.99299260239985,349.23671796085057
351.399994,353.81512,352.21243,332.2481750644839,349.3959068719612
350.51001,362.3614,353.19885,332.58397470412183,349.55509578307186
331.279999,339.15216,353.43347,332.67067924664434,349.71428469418254
338.730011,339.74655,349.7163,332.42951473148617,349.8734736052932
344.0,354.02277,346.70602,332.1036340866085,350.0326625164039
348.440002,332.14914,344.69745,332.0131630709953,350.19185142751456
354.309998,376.45697,343.96405,332.24087495179714,350.35104033862524
353.470001,346.0269,344.8765,332.5569776750551,350.5102292497359
347.48999,365.27432,346.17252,332.65080427421947,350.6694181608466
